Año_Lanzamiento,sentiment_analysis,Registros
1989,2,1
1991,2,1
1992,2,2
1993,0,1
1993,2,2
1994,0,2
1994,1,2
1994,2,3
1995,0,1
1995,2,1
1996,1,2
1997,0,2
1997,1,3
1997,2,7
1998,0,13
1998,1,7
1998,2,44
1999,0,5
1999,1,11
1999,2,20
2000,0,8
2000,1,26
2000,2,53
2001,0,7
2001,1,1
2001,2,12
2002,0,4
2002,1,4
2002,2,13
2003,0,30
2003,1,33
2003,2,66
2004,0,56
2004,1,111
2004,2,308
2005,0,12
2005,1,21
2005,2,58
2006,0,191
2006,1,405
2006,2,1141
2007,0,33
2007,1,43
2007,2,128
2008,0,30
2008,1,42
2008,2,144
2009,0,185
2009,1,318
2009,2,823
2010,0,138
2010,1,171
2010,2,593
2011,0,355
2011,1,554
2011,2,1818
2012,0,979
2012,1,1308
2012,2,4088
2013,0,895
2013,1,1036
2013,2,3678
2014,0,747
2014,1,794
2014,2,2624
2015,0,698
2015,1,715
2015,2,2284
2016,0,111
2016,1,134
2016,2,558
2017,0,259
2017,1,335
2017,2,997
