Año,Juego,Recomendaciones
2010,Amnesia: The Dark Descent,1
2010,ArcaniA,1
2010,Audiosurf,1
2010,Chime,1
2010,Counter-Strike: Source,2
2010,DOOM II: Hell on Earth,1
2010,Day of Defeat: Source,1
2010,Divinity II - The Dragon Knight Saga,1
2010,Dragon Age: Origins,1
2010,Eversion ,1
2010,Fallout: New Vegas,1
2010,Garry's Mod,3
2010,IL-2 Sturmovik: 1946,1
2010,Killing Floor,5
2010,King's Bounty: The Legend,1
2010,Left 4 Dead 2,1
2010,Machinarium,1
2010,Mount & Blade: Warband,1
2010,Osmos,1
2010,Portal,2
2010,Prototype,1
2010,R.U.S.E,1
2010,Recettear: An Item Shop's Tale,1
2010,STAR WARS™: Knights of the Old Republic™,1
2010,Sam & Max 301: The Penal Zone,1
2010,Sid Meier's Civilization III: Complete,1
2010,Sid Meier's Civilization IV: Beyond the Sword,1
2010,Sid Meier's Civilization V,1
2010,Sol Survivor,1
2010,Super Meat Boy,1
2010,Tom Clancy's Splinter Cell: Chaos Theory,1
2010,TrackMania United,1
2010,Train Simulator,1
2010,Worms Reloaded,2
2011,A.R.E.S.,1
2011,APB Reloaded,2
2011,APOX,1
2011,AaAaAA!!! - A Reckless Disregard for Gravity,1
2011,Age of Wonders,1
2011,Alice: Madness Returns,1
2011,Aliens vs. Predator,2
2011,Altitude,3
2011,America's Army 3,1
2011,Arma 2: Operation Arrowhead,2
2011,Assassin's Creed Brotherhood,1
2011,Atom Zombie Smasher ,2
2011,Audiosurf,5
2011,BIT.TRIP RUNNER,2
2011,BRINK,2
2011,Bastion,7
2011,Battlefield 2,1
2011,Battlefield: Bad Company 2,3
2011,Beat Hazard,3
2011,Before the Echo,1
2011,BioShock,1
2011,Blocks That Matter,1
2011,Borderlands,5
2011,Braid,2
2011,Breath of Death VII ,1
2011,Burn Zombie Burn,1
2011,Burnout Paradise: The Ultimate Box,1
2011,Call of Duty: Black Ops,3
2011,Call of Duty: Modern Warfare 2,3
2011,Cave Story+,1
2011,Champions Online,1
2011,Cogs,2
2011,Command and Conquer 4: Tiberian Twilight,1
2011,Commander Keen Complete Pack,1
2011,Company of Heroes,3
2011,Counter-Strike,1
2011,Counter-Strike: Condition Zero,1
2011,Counter-Strike: Source,7
2011,Crayon Physics Deluxe,1
2011,Cthulhu Saves the World ,1
2011,DOOM 3,1
2011,Day of Defeat: Source,2
2011,Dead Island,3
2011,Demigod,1
2011,Deus Ex: Game of the Year Edition,1
2011,Deus Ex: Human Revolution,1
2011,Droplitz,1
2011,Duke Nukem Forever,2
2011,Dungeon Defenders,1
2011,Dungeons of Dredmor,1
2011,Dwarfs!?,1
2011,E.Y.E: Divine Cybermancy,1
2011,EVE Online,1
2011,Earthworm Jim 3D,1
2011,Empire: Total War,1
2011,Europa Universalis III,1
2011,F1 2010™,2
2011,Fable III,2
2011,Faerie Solitaire,1
2011,Fallout 3 - Game of the Year Edition,2
2011,Fallout: New Vegas,3
2011,Fantasy Wars,1
2011,Flight Control HD,1
2011,Foreign Legion: Buckets of Blood,1
2011,From Dust,1
2011,Frozen Synapse,2
2011,GRID,2
2011,Garry's Mod,19
2011,Global Agenda,1
2011,Grand Theft Auto: Episodes from Liberty City,1
2011,Gratuitous Space Battles,1
2011,Half-Life,1
2011,Half-Life 2,5
2011,Half-Life 2: Deathmatch,2
2011,Half-Life 2: Episode One,1
2011,Half-Life 2: Episode Two,3
2011,Hitman: Blood Money,1
2011,Jamestown,1
2011,Jolly Rover,1
2011,Just Cause,1
2011,Just Cause 2,4
2011,Killing Floor,14
2011,LEGO® Star Wars™: The Complete Saga,1
2011,Left 4 Dead,1
2011,Left 4 Dead 2,8
2011,Lugaru HD ,1
2011,Mafia II,2
2011,Magic: The Gathering - Duels of the Planeswalkers,1
2011,Magicka,6
2011,Mass Effect,1
2011,Mass Effect 2,3
2011,Medieval II: Total War,1
2011,Men of War,1
2011,Metro 2033,3
2011,Monday Night Combat,2
